Building,Room,Date/Time
Laughlin,623,4/29/19 11:06 AM
Scully,308,4/29/19 11:16 AM
Scully,310,4/29/19 11:16 AM
Lockhart,315,4/29/19 11:23 AM
Lockhart,314,4/29/19 11:25 AM
Dod,416,4/29/19 11:31 AM
Dod,415,4/29/19 11:31 AM
Dod,414,4/29/19 11:32 AM
Dod,315,4/29/19 11:33 AM
Pyne,313,4/29/19 11:48 AM
Wright,011,4/29/19 11:49 AM
Scully,125,4/29/19 11:52 AM
Scully,415,4/29/19 11:52 AM
Scully,416,4/29/19 11:53 AM
Patton,T04,4/29/19 11:53 AM
Wright,401,4/29/19 11:54 AM
Scully,256,4/29/19 11:56 AM
Scully,258,4/29/19 11:57 AM
Wright,304,4/29/19 11:58 AM
Cuyler,404,4/29/19 11:59 AM
Brown,121,4/29/19 12:00 PM
Patton,073,4/29/19 12:00 PM
Pyne,213,4/29/19 12:16 PM
1901,141,4/29/19 12:16 PM
Pyne,312,4/29/19 12:17 PM
1901,411,4/29/19 12:17 PM
Pyne,311,4/29/19 12:17 PM
Pyne,735,4/29/19 12:33 PM
Scully,250,4/29/19 12:43 PM
Scully,248,4/29/19 12:43 PM
Foulke,302,4/29/19 12:46 PM
Lockhart,114,4/29/19 12:47 PM
1901,441,4/29/19 1:01 PM
Cuyler,234,4/29/19 1:17 PM
Dod,417,4/29/19 1:21 PM
Dod,407,4/29/19 1:21 PM
Dod,402N,4/29/19 1:24 PM
Pyne,713,4/29/19 1:26 PM
Laughlin,624,4/29/19 1:47 PM
Laughlin,626,4/29/19 1:47 PM
Laughlin,615,4/29/19 2:00 PM
Laughlin,614,4/29/19 2:01 PM
Scully,150,4/29/19 2:03 PM
Scully,148,4/29/19 2:03 PM
Laughlin,633,4/29/19 2:03 PM
Pyne,603,4/29/19 2:05 PM
Pyne,721,4/29/19 2:07 PM
Scully,335,4/29/19 2:19 PM
Patton,T07,4/29/19 2:27 PM
Scully,345,4/29/19 2:28 PM
Wright,032,4/29/19 2:31 PM
Little,111,4/29/19 2:38 PM
Pyne,427,4/29/19 2:41 PM
Pyne,414,4/29/19 2:41 PM
Pyne,426,4/29/19 2:41 PM
Wright,021,4/29/19 2:42 PM
Pyne,617,4/29/19 3:00 PM
Pyne,613,4/29/19 3:02 PM
Cuyler,437,4/29/19 3:02 PM
Pyne,625,4/29/19 3:02 PM
Pyne,334,4/29/19 3:02 PM
Pyne,424,4/29/19 3:05 PM
Pyne,423,4/29/19 3:05 PM
1903,312,4/29/19 3:06 PM
1903,224,4/29/19 3:06 PM
Pyne,422,4/29/19 3:07 PM
1903,513,4/29/19 3:17 PM
1903,503,4/29/19 3:18 PM
1901,114,4/29/19 3:30 PM
